year,region,age_group,gender,total_insee,total_students
2022,Centre-Val de Loire,25-29 ans,Non renseigné,0,2
2022,Centre-Val de Loire,30-34 ans,Femme,72900,4
2022,Centre-Val de Loire,30-34 ans,Homme,70117,3
2022,Centre-Val de Loire,30-34 ans,Non renseigné,0,5
2022,Centre-Val de Loire,35-39 ans,Femme,76920,0
2022,Centre-Val de Loire,35-39 ans,Homme,73397,7
2022,Centre-Val de Loire,35-39 ans,Non renseigné,0,5
2022,Centre-Val de Loire,40-44 ans,Femme,77852,0
2022,Centre-Val de Loire,40-44 ans,Homme,75290,5
2022,Centre-Val de Loire,40-44 ans,Non renseigné,0,0
2022,Centre-Val de Loire,45-49 ans,Femme,82218,0
2022,Centre-Val de Loire,45-49 ans,Homme,80214,1
2022,Centre-Val de Loire,45-49 ans,Non renseigné,0,0
2022,Centre-Val de Loire,50-54 ans,Femme,88106,0
2022,Centre-Val de Loire,50-54 ans,Homme,85959,0
2022,Centre-Val de Loire,50-54 ans,Non renseigné,0,0
2022,Centre-Val de Loire,55-59 ans,Femme,87537,0
2022,Centre-Val de Loire,55-59 ans,Homme,84364,0
2022,Centre-Val de Loire,55-59 ans,Non renseigné,0,0
2022,Centre-Val de Loire,60 ans ou plus,Femme,426427,0
2022,Centre-Val de Loire,60 ans ou plus,Homme,344445,0
2022,Centre-Val de Loire,60 ans ou plus,Non renseigné,0,1
2022,Corse,20-24 ans,Femme,7707,0
2022,Corse,20-24 ans,Homme,8131,0
2022,Corse,20-24 ans,Non renseigné,0,0
2022,Corse,25-29 ans,Femme,9075,0
2022,Corse,25-29 ans,Homme,8350,0
2022,Corse,25-29 ans,Non renseigné,0,0
2022,Corse,30-34 ans,Femme,10719,0
2022,Corse,30-34 ans,Homme,10433,0
2022,Corse,30-34 ans,Non renseigné,0,0
2022,Corse,35-39 ans,Femme,11588,0
2022,Corse,35-39 ans,Homme,10373,0
2022,Corse,35-39 ans,Non renseigné,0,0
2022,Corse,40-44 ans,Femme,11895,0
2022,Corse,40-44 ans,Homme,11411,0
2022,Corse,40-44 ans,Non renseigné,0,0
2022,Corse,45-49 ans,Femme,12028,0
2022,Corse,45-49 ans,Homme,11263,0
2022,Corse,45-49 ans,Non renseigné,0,0
2022,Corse,50-54 ans,Femme,12260,0
2022,Corse,50-54 ans,Homme,12318,0
2022,Corse,50-54 ans,Non renseigné,0,0
2022,Corse,55-59 ans,Femme,12194,0
2022,Corse,55-59 ans,Homme,11579,0
2022,Corse,55-59 ans,Non renseigné,0,0
2022,Corse,60 ans ou plus,Femme,59061,0
2022,Corse,60 ans ou plus,Homme,50349,0
2022,Corse,60 ans ou plus,Non renseigné,0,0
2022,DROM,20-24 ans,Femme,64510,0
2022,DROM,20-24 ans,Homme,61007,0
2022,DROM,20-24 ans,Non renseigné,0,0
2022,DROM,25-29 ans,Femme,65404,0
2022,DROM,25-29 ans,Homme,52227,0
2022,DROM,25-29 ans,Non renseigné,0,0
2022,DROM,30-34 ans,Femme,73032,0
2022,DROM,30-34 ans,Homme,56809,3
2022,DROM,30-34 ans,Non renseigné,0,1
2022,DROM,35-39 ans,Femme,74491,0
2022,DROM,35-39 ans,Homme,58086,1
2022,DROM,35-39 ans,Non renseigné,0,0
2022,DROM,40-44 ans,Femme,72658,2
2022,DROM,40-44 ans,Homme,58307,1
2022,DROM,40-44 ans,Non renseigné,0,1
2022,DROM,45-49 ans,Femme,73821,1
2022,DROM,45-49 ans,Homme,63017,2
2022,DROM,45-49 ans,Non renseigné,0,0
2022,DROM,50-54 ans,Femme,77630,0
