"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.47","","","2.74","","","","2.56334","","2.663902","","2.58","","","","2.6","","","",
"Bulgarie","BGR","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.87","","","2.83","","3.21","","3.157151","","2.807685","","3.03","","","","3.2","","","",
"Bahreïn","BHR","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.15","","","3.37","","3.05","","3.083116","","3.314021","","2.93","","","","3.5","","","",
"Bahamas","BHS","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.75","","2.75","","2.910966","","2.749937","","2.53","","","","2.7","","","",
"Bosnie-Herzégovine","BIH","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.46","","","2.66","","2.99","","2.747618","","2.596254","","2.81","","","","3","","","",
"Bélarus","BLR","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.53","","","","","2.61","","2.638168","","2.399232","","2.57","","","","2.7","","","",
"Belize","BLZ","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermudes","BMU","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivie","BOL","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.31","","","2.51","","2.61","","2.480758","","2.251462","","2.36","","","","2.4","","","",
"Brésil","BRA","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.75","","","3.2","","3.13","","2.943951","","3.087984","","2.99","","","","3.2","","","",
"Barbade","BRB","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunéi Darussalam","BRN","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.870492","","2.71","","","","","","","",
"Bhoutan","BTN","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.16","","","2.38","","2.52","","2.29013","","2.321436","","2.17","","","","2.5","","","",
"Botswana","BWA","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.32","","2.84","","2.492775","","3.045458","","","","","","3.1","","","",
"République centrafricaine","CAF","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.360932","","","","2.15","","","","2.5","","","",
"Canada","CAN","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.92","","","3.87","","3.85","","3.855498","","3.930707","","3.73","","","","4","","","",
"Europe centrale et les pays baltes","CEB","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.96545454545455","","","3.09363636363636","","3.09272727272727","","3.316988","","3.30313409090909","","3.21545454545455","","","","3.35454545454545","","","",
"Suisse","CHE","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.02","","","3.97","","3.8","","3.843969","","3.987158","","3.9","","","","4.1","","","",
"Îles Anglo-Normandes","CHI","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chili","CHL","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.25","","","3.09","","3.17","","3.255786","","3.248442","","3.32","","","","3","","","",
"Chine","CHN","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.32","","","3.49","","3.52","","3.531463","","3.661104","","3.61","","","","3.7","","","",
"Côte d'Ivoire","CIV","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.36","","","2.53","","2.73","","2.761981","","2.602573","","3.08","","","","","","","",
"Cameroun","CMR","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.49","","","2.55","","2.53","","2.296616","","2.151499","","2.6","","","","2.1","","","",
"Congo, République démocratique du","COD","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.68","","2.21","","1.878857","","2.375762","","2.43","","","","2.5","","","",
"Congo, République du","COG","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48","","2.08","","2.077149","","2.376768","","2.49","","","","2.6","","","",
"Colombie","COL","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","","","2.77","","2.87","","2.639637","","2.612351","","2.94","","","","2.9","","","",
"Comores","COM","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48","","","2.45","","2.14","","2.402136","","2.57914","","2.56","","","","","","","",
"Cabo Verde","CPV","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.55","","","2.91","","2.75","","2.700719","","2.64897","","2.79","","","","2.9","","","",
"Petits états des Caraïbes","CSS","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.05","","","2.51","","2.54","","2.685049","","2.60512433333333","","2.43666666666667","","","","2.6","","","",
"Cuba","CUB","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.07","","2.2","","2.179734","","2.346459","","2.2","","","","2.2","","","",
"Curacao","CUW","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Caïmans","CYM","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chypre","CYP","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.92","","","3.13","","3.24","","3.000577","","2.999061","","3.15","","","","3.2","","","",
"République tchèque","CZE","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.13","","","3.51","","3.14","","3.492416","","3.674309","","3.68","","","","3.3","","","",
"Allemagne","DEU","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","","","4.11","","4.03","","4.121983","","4.225967","","4.2","","","","4.1","","","",
"Djibouti","DJI","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.94","","","2.39","","1.8","","2.149867","","2.32254","","2.63","","","","2.7","","","",
"Dominique","DMA","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Danemark","DNK","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86","","","3.85","","4.02","","3.78252","","3.815794","","3.99","","","","4.1","","","",
"République dominicaine","DOM","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.38","","","2.82","","2.7","","2.860551","","2.62728","","2.66","","","","2.6","","","",
"Algérie","DZA","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.06","","","2.36","","2.41","","2.649451","","2.769683","","2.45","","","","2.5","","","",
"Asie de l’Est et Pacifique (hors revenu élevé)","EAP","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.58153846153846","","","2.72692307692308","","2.77230769230769","","2.85316438461538","","2.787426","","2.81538461538462","","","","2.95833333333333","","","",
"de dividende précoce démographique","EAR","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48382978723404","","","2.65632653061224","","2.63787234042553","","2.69526668","","2.65887832","","2.63297872340426","","","","2.74651162790698","","","",
"Asie de l’Est et Pacifique","EAS","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0235","","","3.1115","","3.139","","3.18375385","","3.13744447619048","","3.14761904761905","","","","3.3","","","",
"Europe et Asie centrale (hors revenu élevé)","ECA","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.34142857142857","","","2.63875","","2.65375","","2.6635915","","2.498787625","","2.656875","","","","2.72","","","",
"Europe et Asie centrale","ECS","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.08068181818182","","","3.19191489361702","","3.18723404255319","","3.25684406382979","","3.22612140425532","","3.24042553191489","","","","3.32391304347826","","","",
"Équateur","ECU","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","","","2.77","","2.76","","2.710986","","2.779081","","2.88","","","","","","","",
"Égypte, République arabe d’","EGY","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37","","","2.61","","2.98","","2.965911","","3.184964","","2.82","","","","3.1","","","",
"Zone euro","EMU","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.44947368421053","","","3.471","","3.4665","","3.55222105","","3.63302775","","3.5095","","","","3.655","","","",
"Érythrée","ERI","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.19","","","1.7","","2.11","","2.084755","","2.171842","","2.09","","","","","","","",
"Espagne","ESP","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52","","","3.63","","3.7","","3.718636","","3.727412","","3.83","","","","3.9","","","",
"Estonie","EST","Indice de performance logistique : performance globale (1=faible et 5=élevée)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.95","","","3.16","","2.86","","3.34592","","3.363489","","3.31","","","","3.6","","","",
